"FIRM","PRICE","ACCOUNT SIZE","PROFIT SPLIT","PROFIT TARGET","MAX. DAILY LOSS","MAX. TOTAL DRAWDOWN","COMMISION PER ROUND LOT (FOREX)","PROFIT TARGET TO DRAWDOWN RATIO","PAYOUT FREQUENCY","TRUST PILOT RATING","YEAR STABLISHED AND COUNTRY","LOYALTY POINTS","Name","Original Price","Discount Price","Account Size","Profit Split","Phase 1 Profit Target","Phase 2 Profit Target","Max Daily Loss","Max Total Drawdown","Daily Drawdown Reset Type","Drawdown Method","Minimun Trading Days","Maximun Trading Days","Stop-loss Required","Profit Target to Drawdown Ratio","Comissions (Forex)","Leverage","Refund Fee","Scaling","Expert Advisors (EAS) Allowed","Copy Trading","News Trading","Weekend Holding","Auto-close at Target","Drawdown Blocker","Payout Frequency","Max Allocation (without scaling)","Swap Free Accounts","Technology","Broker","Trading Platforms","Trust Pilot Rating","Established","Country","Loyalty Points"
"Earn2Trade","$550.00 $220.00 ","200K 1 step","80%","1: $11,000","$4,400","$6,000","Visit Website FAQ","1: 0.55","7 Days","4.6","January 2017 United States","726","Earn2Trade - The Gauntlet Mini 200K - 1-Step - 200K","$550.00","$220.00","200K","80%","$11,000"," ","$4,400","$6,000","Balance-based","EOD trailing","10 Days","Unlimited","No","1: 0.55","Visit Website FAQ","Up to Up to 16 contracts","No","Yes","No","Auto-close at Target","Yes","No","No","No","7 Days","3 accounts","No"," ","Phillip Capital, EdgeClear","NinjaTrader, Finamark, R | Trader & R | Trader Pro, Overcharts","4.6","January 1, 2017","United States","726"
"Fintokei","€119.00 €107.10 ","20K 3 steps","50%","1: 2% 2: 3% 3: 6%","5%","10%","$6/round lot","1: 0.91","14 days from the day first trade was placed","4.8","April 2023 Czech Republic","118","Fintokei - Start Trader - 3Phase Evaluation - 3-Step- 20K","€119.00","€107.10","20K","50%","2%","3%","5%","10%","Equity-based - SOD","Trailing","3 Days","180 Days","No","1: 0.91","$6/round lot","Up to 25:1","Yes, only ProTrader on your first payout","Yes","Yes","Yes","Yes, we just advise clients to be careful during these periods of possible higher market volatility","Yes","No","No","14 days from the day first trade was placed","500K","No","White Label","Purple Trading Seychelles","MT4, MT5, cTrader","4.8","April 1, 2023","Czech Republic","118"
"Instant Funding","$399.00 $339.15 ","100K 3 steps","80%","1: 8% 2: 5% 3: 5%","5%","10%","$7/round lot","1: 0.56","First 14 days, then 7 days","4.6","June 2022 United Kingdom","560","Instant Funding - Static - Three-Phase - 3-Step 100K","$399.00","$339.15","100K","80%","8%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.56","$7/round lot","Up to 100:1","No","Yes","Yes","Drawdown Blocker","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","560"
"AquaFunded","$157.00 $109.90 ","10K 2 steps","90% or 95%","1: 10% 2: 5%","5%","10%","$5","1: 0.67","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","179","AquaFunded - Fish Challenge - 2-Step Pro Challenge - 2-Steps 10K","$157.00","$109.90","10K","90% or 95%","10%","5%","5%","10%","Equity-based","Static","3 Days","Unlimited","No","1: 0.67","$5","Up to 50:1","100%","Yes","Yes","Yes","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","179"
"The Trading Pit","$569.00 $512.10 ","100K 2 steps","80%","1: 8% 2: 5%","5%","10%","$5/round lot","1: 0.77","Every 14 days for any amount over $100","4.0","October 2022 Liechtenstein","845","The Trading Pit - CFD Prime - 2-Phase Evaluation - 2-Step 100K","$569.00","$512.10","100K","80%","8%","5%","5%","10%","Balance-based at 16:00 CT","Static","5 Days","Unlimited","Yes","1: 0.77","$5/round lot","Up to 50:1","*Yes, 100% only in the CFD challenge","Yes","Yes","Payout Frequency","Allowed with restriction: 2 minutes prior or after to high-impact news","Yes","No","No","Every 14 days for any amount over $100","1 Earning account per user","No","In-House","FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)","4.0","October 1, 2022","Liechtenstein","845"
"Trade The Pool","$97.00 $87.30 ","20K 1 step","50%","1: $1,800 (2xDD)","$300","$900","$0.005 with a minimum charge of $0.75 per trade","1: 0.5","14 days","4.5","September 2022 Israel","96","Trade The Pool - Mini Buying Power - 1-Step - 20K","$97.00","$87.30","20K","50%","$1,800 (2xDD)"," ","$300","$900","Balance-based","Static","30 Days","45 Days","No","1: 0.5","$0.005 with a minimum charge of $0.75 per trade","Up to","No","Yes","No","First 14 days, then 7 days","Yes","Yes","No","No","14 days","No limit","No"," ","Interactive Brokers","Trader Evolutions","4.5","September 1, 2022","Israel","96"
"Finotive Funding","$99.00 $74.25 ","2.5K Instant","55%","x","5%","8%","$4/round lot","1: *","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","69","Finotive Funding - Instant Standard - Instant 2.5K","$99.00","$74.25","2.5K","55%"," "," ","5%","8%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: *","$4/round lot","Up to 100:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Swap Free Accounts","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","69"
"Maven","$96.00 $88.32 ","20K 1 step","80%","1: 8%","3%","5%","$4/round lot","1: 0.63","14 Days","4.6","November 2022 Canada","117","Maven - 1-Step Challenge - Standard - cTrader - 1-Step 20K","$96.00","$88.32","20K","80%","8%"," ","3%","5%","Balance / Equity - Highest at EOD","Trailing","None","Unlimited","No","1: 0.63","$4/round lot","Up to 75:1","*Yes, 100% for standard account on 3rd payout","Yes","Yes","Yes","Allowed with restriction: 2 minutes before and after a red folder news","Yes","Yes","No","14 Days","200K","Yes","White-Label","Match Trade","cTrader, (Match Trader for US traders)","4.6","November 1, 2022","Canada","117"
"Finotive Funding","$349.00 $261.75 ","50K 1 step","75%","1: 10%","4%","7.50%","$4/round lot","1: 0.75","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","242","Finotive Funding - 1 Phase Challenge - 1-Step 50K","$349.00","$261.75","50K","75%","10%"," ","4%","7.50%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.75","$4/round lot","Up to 200:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Technology","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","242"
"Finotive Funding","$199.00 $149.25 ","25K 2 steps","75%","1: 7.50% 2: 5%","5%","10%","$4/round lot","1: 0.8","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","138","Finotive Funding - 2 Phase Challenge - 2-Step 25K","$199.00","$149.25","25K","75%","7.50%","5%","5%","10%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.8","$4/round lot","Up to 200:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","In-House","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","138"
"Instant Funding","$3,460.00 $2,941.00 ","80K Instant","80%","x","None","10%","$7/round lot"," ","First 14 days, then 7 days","4.6","June 2022 United Kingdom","4853","Instant Funding - Instant Funding - Instant 80K","$3,460.00","$2,941.00","80K","80%"," "," ","None","10%","None","Smart","None","Unlimited","No","1:","$7/round lot","Up to 100:1","No","Yes","Yes","Broker","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","4853"
"City Traders Imperium","$849.00 $721.65 ","40K 1 step","70% up to 100% + Monthly Salary","1: 10%","None","6%","$4.50/round lot","1: 0.6","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","4.5","June 2018 United Arab Emirates","1191","City Traders Imperium - 1-Step Evaluation - 1-Step 40K","$849.00","$721.65","40K","70% up to 100% + Monthly Salary","10%"," "," ","6%","Balance-based","Static","None","Unlimited","Yes","1: 0.6","$4.50/round lot","Up to 30:1","*Yes, 100% but only on the 2-step","Yes","Yes"," ","Yes","Yes","No","No","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","160K","No","In-House","Mabicon","MT5","4.5","June 1, 2018","United Arab Emirates","1191"
"For Traders","$209.00 $175.56 ","25K 1 step","80% + 15% from challenge phase","1: 9%","3%","6%","$5/round lot","1: 0.67","14 Days","4.2","July 2023 United Arab Emirates","290","For Traders - 1-Step Challenge - 1-Step 25K","$209.00"," ","25K","80% + 15% from challenge phase","9%"," ","3%","6%","Balance-based","Trailing","3 Days","Unlimited","No","1: 0.67","$5/round lot","Up to 125:1","100%","Yes","No","Trading Platform(s)","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","290"
"The Trading Pit","$349.00 $314.10 ","50K 2 steps","80%","1: 8% 2: 5%","5%","10%","$5/round lot","1: 0.77","Every 14 days for any amount over $100","4.0","October 2022 Liechtenstein","518","The Trading Pit - CFD Prime - 2-Phase Evaluation - 2-Step 50K","$349.00","$314.10","50K","80%","8%","5%","5%","10%","Balance-based at 16:00 CT","Static","5 Days","Unlimited","Yes","1: 0.77","$5/round lot","Up to 50:1","*Yes, 100% only in the CFD challenge","Yes","Yes","cTrader, MT5, (DXTrade for US traders)","Allowed with restriction: 2 minutes prior or after to high-impact news","Yes","No","No","Every 14 days for any amount over $100","1 Earning account per user","No","In-House","FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)","4.0","October 1, 2022","Liechtenstein","518"
"My Funded FX","$80.00 $70.00 ","10K 1 step","80%","1: 8%","2% daily pause","8%","$3/round lot (MatchTrade, DXTrade)","1: 1","7 Days","4.2","June 2022 United States","116","My Funded FX - 1-Step Max - 1-Step 10K","$80.00","$70.00","10K","80%","8%"," ","2% daily pause","8%","Balance-based","Static","None","Unlimited","No","1: 1","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","No","Yes","Buyers Rating","Allowed with restriction: 3 minutes before and after a red folder news","Yes","Yes","No","7 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","116"
"Breakout","$725.00 $688.75 ","100K 2 steps","80%","1: 5% 2: 10%","5%","8%","$7/ $10,000","1: 0.53","1 day, and then every following day","4.9","November 2023 British Virgin Islands","1136","Breakout Prop - Crypto - 2-Step Evaluation - 2-Steps 100K","$725.00","$688.75","100K","80%","5%","10%","5%","8%","Balance-based","Trailing","None","Unlimited","No","1: 0.53","$7/ $10,000","Up to 5:1","0%","Yes","No","Yes","Yes","Yes","No","No","1 day, and then every following day","200K","No","White-Label","Bybit","Proprietary trading terminal","4.9","November 1, 2023","British Virgin Islands","1136"
"Funding Traders","$1,100.00 $880.00 ","200K 1 step","90%","1: 10%","4%","5%","$3/round lot","1: 0.5","14 Days","4.5","April 2023 United Arab Emirates","1694","Funding Traders - 1-Step Evaluation - 1-Step 200K","$1,100.00","$880.00","200K","90%","10%"," ","4%","5%","Balance-based","Trailing","7 Days","Unlimited","*No, but you can’t lose more than 2% on any single trade.","1: 0.5","$3/round lot","Up to 100:1","100%","Yes","Yes","News Trading","Yes","Yes","No","No","14 Days","2M","Yes","In-House","FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)","4.5","April 1, 2023","United Arab Emirates","1694"
"Apex Trader Funding","$137.00 $27.40 ","100K 1 step","90%","1: $2,000","None","$625","Visit Website FAQ","1: 0.31","14 Days","4.5","January 2021 United States","66","Apex Trader Funding - Rithmic/NinjaTrader Plan - 100K Static - 1-Step - 100K","$137.00","$27.40","100K","90%","$2,000"," ","None","$625","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.31","Visit Website FAQ","Up to 2 (20 Micros)","No","No","No","Yes","Allowed: Evaluation accounts. Not allowed: Funded accounts","No","No","No","14 Days","20 accounts","No"," ","Rithmic and Tradovate","NinjaTrader","4.5","January 1, 2021","United States","66"
"FundedNext","$549.00 $521.55 ","100K 2 steps","80% + 15% from challenge phase","1: 8% 2: 5%","5%","10%","$3/round lot","1: 0.77","First 30 days, then 14 Days","4.5","March 2022 United Arab Emirates","313","FundedNext - Stellar Challenge - 2-Steps 100K","$549.00","$521.55","100K","80% + 15% from challenge phase","8%","5%","5%","10%","Balance-based","Static","5 Days","Unlimited","No","1: 0.77","$3/round lot","Up to 100:1","100%","Yes","Yes","Weekend Holding","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","First 30 days, then 14 Days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","313"
"My Funded FX","$425.00 $371.88 ","100K 2 steps","80%","1: 10% 2: 5%","Phase 1: 5%, Phase 2 and Funded: 4%","Phase 1: 10%, Phase 2 and Funded: 8%","$3/round lot (MatchTrade, DXTrade)","1: 0.53","14 Days","4.2","June 2022 United States","614","My Funded FX - 2-Step Max - 2-Step 100K","$425.00","$371.88","100K","80%","10%","5%","Phase 1: 5%, Phase 2 and Funded: 4%","Phase 1: 10%, Phase 2 and Funded: 8%","Balance-based","Static","3 days of .5% profit per day","Unlimited","No","1: 0.53","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","No","Yes","Yes","Allowed with restriction: 3 minutes before and after a red folder news","Yes","No","No","14 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","614"
"AquaFunded","$113.00 $79.10 ","10K 1 step","90% or 95%","1: 9%","3%","6%","$5","1: 0.67","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","124","AquaFunded - Fish Challenge - 1-Step Challenge - 1-Step 10K","$113.00","$79.10","10K","90% or 95%","9%"," ","3%","6%","Equity-based","Trailing","3 Days","Unlimited","No","1: 0.67","$5","Up to 100:1","100%","Yes","Yes","Auto-close at Target","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","124"
"AquaFunded","$317.00 $221.90 ","50K 2 steps","90% or 95%","1: 8% 2: 5%","5%","8%","$5","1: 0.62","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","380","AquaFunded - Dolphin Challenge - 2-Step Challenge - 2-Steps 50K","$317.00","$221.90","50K","90% or 95%","8%","5%","5%","8%","Equity-based","Static","3 Days","Unlimited","No","1: 0.62","$5","Up to 100:1","100%","Yes","Yes","Yes","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","380"
"FundedNext","$999.00 $949.05 ","200K 1 step","60% + 15% from challenge phase","1: 25%","5%","10%","$3/round lot","1: 0.4","Monthly","4.5","March 2022 United Arab Emirates","569","FundedNext - Express Consistency - 1-Step 200K","$999.00","$949.05","200K","60% + 15% from challenge phase","25%"," ","5%","10%","Balance-based","Static","10 Days","Unlimited","No","1: 0.4","$3/round lot","Up to 100:1","100%","Yes","Yes","Drawdown Blocker","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","No","No","No","Monthly","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","569"
"E8 Markets","$598.00 $478.40 ","200K 3 steps","80%","1: 8% 2: 4% 3: 4%","4%","8%","$0 standard, $5/round lot of raw spreads","1: 0.5","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","4.6","November 2021 United States","263","E8 Markets - E8 Track - 3-Steps 200K","$598.00","$478.40","200K","80%","8%","4%","4%","8%","Balance-based","Static","1Day","Unlimited","No","1: 0.5","$0 standard, $5/round lot of raw spreads","Up to 50:1","No","Yes","Yes","Yes","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","400K","No","In-House","Virtual Markets","MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)","4.6","November 1, 2021","United States","263"
"City Traders Imperium","$449.00 $381.65 ","20K 1 step","70% up to 100% + Monthly Salary","1: 10%","None","6%","$4.50/round lot","1: 0.6","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","4.5","June 2018 United Arab Emirates","630","City Traders Imperium - 1-Step Evaluation - 1-Step 20K","$449.00","$381.65","20K","70% up to 100% + Monthly Salary","10%"," "," ","6%","Balance-based","Static","None","Unlimited","Yes","1: 0.6","$4.50/round lot","Up to 30:1","*Yes, 100% but only on the 2-step","Yes","Yes","Payout Frequency","Yes","Yes","No","No","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","160K","No","In-House","Mabicon","MT5","4.5","June 1, 2018","United Arab Emirates","630"
"FTMO"," ","200K 2 steps","80%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.8","January 2015 Czech Republic","346","FTMO - Normal Challenge - 2-Steps 200K","€1,080.00"," ","200K","80%","10%","5%","5%","10%","Balance-based (initial account balance)","Static","4 Days","Unlimited","No","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","1 day, and then every following day","Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation)","No","No","No","14 Days","400K","Yes","In-House","Institutional Liquidity Providers","MT4, MT5, cTrader, DXtrade","4.8","January 1, 2015","Czech Republic","346"
"Goat Funded Trader","$524.00 $262.00 ","100K 2 steps","40%(payout on demand) or 80% (30days)","1: 10% 2: 5%","5%","10%","$7/round lot","1: 0.67","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","432","Goat Funded Trader - No Time Limit - 2-Steps 100K","$524.00","$262.00","100K","40%(payout on demand) or 80% (30days)","10%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.67","$7/round lot","Up to 100:1","0%","Yes","Yes","Swap Free Accounts","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","432"
"For Traders","$189.00 $158.76 ","25K 2 steps","80% + 15% from challenge phase","1: 6% (2% daily profit cap) 2: 6% (2% daily profit cap)","3% (Daily Pause)","10%","$5/round lot","1: 0.67","14 Days","4.2","July 2023 United Arab Emirates","262","For Traders - 2-Step Pro Challenge - 2-Steps 25K","$189.00"," ","25K","80% + 15% from challenge phase","6% (2% daily profit cap)","6% (2% daily profit cap)","3% (Daily Pause)","10%","Balance-based","Static","None","Unlimited","No","1: 0.67","$5/round lot","Up to 125:1","100%","Yes","No","Yes","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","262"
"Crypto Fund Trader","$625.00 $581.25 ","100K 1 step","80%","1: 10%","4%","6%","$3/round lot","1: 0.6","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","959","Crypto Fund Trader - 1-Phase - 1-Step 100K","$625.00","$581.25","100K","80%","10%"," ","4%","6%","Balance-based","Trailing","5 Days","Unlimited","No","1: 0.6","$3/round lot","Up to 100:1","No","No","Yes","Technology","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","959"
"Funding Pips","$156.00 $145.08 ","25K 2 steps","80%","1: 8% 2: 5%","5%","10%","$2/round lot","1: 0.77","Weekly, every Tuesday","4.3","November 2022 United Arab Emirates","58","Funding Pips - Challenges - 2-Steps 25K","$156.00","$145.08","25K","80%","8%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.77","$2/round lot","Up to 100:1","*Yes, 100% but on the 4th payout","Yes","Yes","White-Label","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Weekly, every Tuesday","300K (50K for Pakistan traders)","No","In-House","Liquidity Providers","cTrader, (Match-Trader, TradeLocker for US traders)","4.3","November 1, 2022","United Arab Emirates","58"
"OANDA Prop Trader"," ","250K 2 steps","80%","1: 8% (5% Max Daily Profit) 2: 5% (2% Max Daily Profit)","5%","10%","$0","1: 0.77","Minimum of 14 days","4.1","January 2024 Malta","1100","OANDA Prop Trader - Platinum - 2-Steps 250K","$1,200.00"," ","250K","80%","8% (5% Max Daily Profit)","5% (2% Max Daily Profit)","5%","10%","Equity-based","Trailing","None","Unlimited","No","1: 0.77","$0","Up to 100:1","Yes, 100% upon first payout","No","Yes","Broker","Allowed with restriction: 3 minutes prior or after to high-impact news","Yes","Yes","No","Minimum of 14 days","500K","No","In-House","OANDA Global Markets","MT5","4.1","January 20, 2024","Malta","1100"
"Crypto Fund Trader","$1097.00 $1,020.21 ","200K 2 steps","80%","1: 8% 2: 5%","5%","10%","$3/round lot","1: 0.77","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","1683","Crypto Fund Trader - 2-Phases - 2-Steps 200K","$1097.00","$1,020.21","200K","80%","8%","5%","5%","10%","Balance-based","Static","5 Days","Unlimited","No","1: 0.77","$3/round lot","Up to 100:1","No","No","Yes","Bybit","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","1683"
"Topstep"," ","100K 1 step","90%","1: $6,000","$2,000","$3,000","Visit Website FAQ","1: 0.5","Daily","4.6","January 2012 United States","163","Topstep - 1-Step 100K","$99.00"," ","100K","90%","$6,000"," ","$2,000","$3,000","Balance-based","Trailing","5 winning days of +$200","Unlimited","No","1: 0.5","Visit Website FAQ","Up to 10 Contacts","No","Yes","No","Trading Platform(s)","Yes","No","No","No","Daily","No limit","No"," ","Tradovate, Ninjatrader, Cunningham, Dorman, Plus500, CQC","TopstepX, NinjaTrader, Quantower, T4, R Trader Pro, Atas Orderflow Trading, MotiveWave, VolFix, Bookmap, Investor/RT, Jigsaw, Daytradr, MultiCharts, Sierra Chart, Trade Navigator","4.6","January 1, 2012","United States","163"
"Maven","$210.00 $193.20 ","50K 2 steps","80%","1: 8% 2: 5%","4%","8%","$4/round lot","1: 0.62","14 Days","4.6","November 2022 Canada","255","Maven - 2-Step Challenge - Standard - cTrader - 2-Steps 50K","$210.00","$193.20","50K","80%","8%","5%","4%","8%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.62","$4/round lot","Up to 75:1","*Yes, 100% for standard account on 3rd payout","Yes","Yes","Proprietary trading terminal","Allowed with restriction: 2 minutes before and after a red folder news","Yes","Yes","No","14 Days","200K","Yes","White-Label","Match Trade","cTrader, (Match Trader for US traders)","4.6","November 1, 2022","Canada","255"
"Lark Funding","$325.00 $292.50 ","50K 2 steps","80%","1: 8% 2: 5%","5%","10%","$7/round lot","1: 0.77","First 30 days, then 14 days","4.3","June 2022 Canada","429","Lark Funding - 2-Stage Evaluation - 2-Steps 50K","$325.00","$292.50","50K","80%","8%","5%","5%","10%","Balance-based","Static","None","Unlimited","No","1: 0.77","$7/round lot","Up to 25:1","No","No","Yes","Buyers Rating","Yes","No","Yes","No","First 30 days, then 14 days","600K","Yes","White-Label","ThinkMarkets","cTrader, (DXtrader for US traders)","4.3","June 1, 2022","Canada","429"
"Goat Funded Trader","$339.00 $169.50 ","50K 1 step","80%","1: 10%","4%","6%","$7/round lot","1: 0.6","30 Days then Bi-weekly or Triple payday or Payout on Demand","4.1","May 2023 Spain","280","Goat Funded Trader - No Time Limit - 1-Step 50K","$339.00","$169.50","50K","80%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.6","$7/round lot","Up to 30:1","0%","Yes","Yes","No","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days then Bi-weekly or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","280"
"Finotive Funding","$59.00 $44.25 ","5K 2 steps","75%","1: 7.50% 2: 5%","5%","10%","$4/round lot","1: 0.8","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","41","Finotive Funding - 2 Phase Challenge - 2-Step 5K","$59.00","$44.25","5K","75%","7.50%","5%","5%","10%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.8","$4/round lot","Up to 100:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","News Trading","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","41"
"Ment Funding","$1,500.00 $1,365.00 ","200K 1 step","75%","1: 10%","5%","6%","$6/round lot","1: 0.6","First at anytime, then every 30 days","4.8","October 2021 United States","1241","Ment Funding - Evaluation - 1-Step 200K","$1,500.00","$1,365.00","200K","75%","10%"," ","5%","6%","Balance-based","Static","None","Unlimited","Yes","1: 0.6","$6/round lot","Up to 20:1","No","Yes","Yes","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Allowed with restriction: 3 minutes before and after a red folder news","No","No","No","First at anytime, then every 30 days","2M","No","White-Label","ThinkMarkets, Match Trade","cTrader, MT4, MT5, (Match Trader, DXtrade for US traders)","4.8","October 1, 2021","United States","1241"
